,Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Tabard,Shirt,Off Hand,score
4257,Wrathbark Greathelm,Azure-Venom Choker,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Waistguard of Expurged Anguish,Gormshell Greaves,Dynamo Doomstompers,Reality-Shatter Vambraces,Fogweaver Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Inscrutable Quantum Device,Blighted Margrave's Cloak,Supercollider,Tabard of the Ascended,Artisan Officer's Shirt,Acidslough Bulwark,897.4
4258,Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Halkias's Towering Pillars,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Guilewind Stone Talons,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Viscera of Coalesced Hatred,Dealer Xy'exa's Cape,Sophisticated Bonecracker,Stormwind Tabard,Precious' Ribbon,Encrusted Canopic Lid,1282.4
4259,Wrathbark Greathelm,Noble's Birthstone Pendant,Vile Butcher's Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Fleshfused Crushers,Shadowghast Ring,Signet of the False Accuser,Bladedancer's Armor Kit,Anima Field Emitter,Cloak of Enveloping Manifestations,Sophisticated Bonecracker,,,Barricade of the Endless Empire,777.5
4260,Oversized Centurion Helm,Trailspinner Pendant,Selfless Collector's Spaulders,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Halkias's Towering Pillars,Muckwallow Stompers,Selfless Collector's Wristguards,Hardened Castle Crushers,Signet of the False Accuser,Bloodoath Signet,Blood-Spattered Scale,Anima Field Emitter,Dealer Xy'exa's Cape,Supercollider,Tabard of Brute Force,Red Linen Shirt,Barricade of the Endless Empire,869.4
4261,Shadowghast Helm,Trailspinner Pendant,Dread Sentinel's Ebony Spaulders,Breastplate of Brutal Dissonance,Stonebark Girdle,Halkias's Towering Pillars,Muckwallow Stompers,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Arachnid Cipher Ring,Hyperlight Band,Gluttonous Spike,Blood-Spattered Scale,Drape of Twisted Loyalties,Engorged Worm Smasher,,,Acidslough Bulwark,758.1
4262,Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Muckwallow Stompers,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Ritual Bone Band,Fleshfused Circle,Inscrutable Quantum Device,Darkmoon Deck: Voracity,Blighted Margrave's Cloak,Engorged Worm Smasher,,,Acidslough Bulwark,816.7
4263,Wing Commander's Helmet,Trailspinner Pendant,Pauldrons of Unleashed Pride,Breastplate of Fatal Contrivances,Shadowghast Waistguard,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Arachnid Cipher Ring,Fleshfused Circle,Pulsating Stoneheart,Stone Legion Heraldry,Drape of Twisted Loyalties,Axe of the Deadgrove,,,Barricade of the Endless Empire,924.1
4264,Shadowghast Helm,Charm of Eternal Winter,Sinful Gladiator's Plate Pauldrons,Breastplate of Brutal Dissonance,Stonebark Girdle,Gormshell Greaves,Dynamo Doomstompers,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Band of the Risen Bonelord,Death God's Signet,Pulsating Stoneheart,Decanter of Anima-Charged Winds,Blighted Margrave's Cloak,Axe of the Deadgrove,,,Encrusted Canopic Lid,751.6
4265,Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Stonebark Girdle,Endlessly Gluttonous Greaves,Warboots of Ruthless Conviction,Hellhound Cuffs,Distorted Construct's Gauntlets,Fleshfused Circle,Ring of Perpetual Conflict,Anima Field Emitter,Splintered Heart of Al'ar,Crest of the Legionnaire General,Xandria's Kopis of Courage,Illustrious Guild Tabard,Fashionable Undershirt,Elysian Sentinel's Aegis,696.5
4266,Shadowghast Helm,Azure-Venom Choker,Selfless Collector's Spaulders,Selfless Collector's Chestplate,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Sabatons of the Rushing Juggernaut,Reality-Shatter Vambraces,Guilewind Stone Talons,Sinful Aspirant's Ring,Ring of Perpetual Conflict,Sinful Aspirant's Emblem,Anima Field Emitter,Mantle of Manifest Sins,Sophisticated Bonecracker,,Red Linen Shirt,Barricade of the Endless Empire,609.6
4267,Shadowghast Helm,Trailspinner Pendant,Unyielding Combatant's Pauldrons,Abdominal Securing Chestguard,Stoic Guardsman's Belt,Ceremonial Parade Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fallen Templar's Gauntlets,Ring of Perpetual Conflict,Arachnid Cipher Ring,Inscrutable Quantum Device,Splintered Heart of Al'ar,Cowled Batwing Cloak,Supercollider,Court of Harvesters Tabard,,Barricade of the Endless Empire,711.0
4268,Wrathbark Greathelm,Azure-Venom Choker,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Waistguard of Expurged Anguish,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Ritual Bone Band,Arachnid Cipher Ring,Spare Meat Hook,Gluttonous Spike,Cowled Batwing Cloak,Sacred Sparrer's Edge,,,Acidslough Bulwark,589.7
4269,Diadem of Imperious Desire,Charm of Eternal Winter,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Galvanized Oxxein Legguards,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Fogweaver Gauntlets,Band of the Risen Bonelord,Signet of the False Accuser,Inscrutable Quantum Device,Sinful Aspirant's Insignia of Alacrity,Cowled Batwing Cloak,Axe of the Deadgrove,Tabard of the Lightbringer,Precious' Ribbon,Encrusted Canopic Lid,832.0
4270,Oversized Centurion Helm,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Shieldguard's Girdle,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Bloodoath Signet,Slimy Consumptive Organ,Overwhelming Power Crystal,Blighted Margrave's Cloak,Axe of the Deadgrove,Lightforged Tabard,,Acidslough Bulwark,417.6
4271,Wing Commander's Helmet,Noble's Birthstone Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Entwined Gorger Tendril,Bladedancer's Armor Kit,Inscrutable Quantum Device,Drape of Twisted Loyalties,Sophisticated Bonecracker,,,Barricade of the Endless Empire,836.5
4272,Darkfrost Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Sinful Gladiator's Plate Greatbelt,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Entwined Gorger Tendril,Ritual Bone Band,Anima Field Emitter,Gluttonous Spike,Cowled Batwing Cloak,Axe of the Deadgrove,,Red Linen Shirt,Acidslough Bulwark,711.5
4273,Casque of the Path,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Selfless Collector's Chestplate,Scarred Bloodbound Girdle,Legplates of Unholy Frenzy,Dynamo Doomstompers,Pit Fighter's Wristguards,Fogweaver Gauntlets,Death God's Signet,Shadowghast Ring,Memory of Past Sins,Spare Meat Hook,Decadent Nathrian Shawl,Axe of the Deadgrove,,,Waylight Defender,515.5
4274,Shadowghast Helm,Muckformed Chain Choker,Pauldrons of Unleashed Pride,Sinful Aspirant's Plate Chestplate,Sinful Aspirant's Plate Girdle,Sinful Gladiator's Plate Legguards,Sinful Gladiator's Plate Stompers,Hellhound Cuffs,Sinful Aspirant's Plate Gauntlets,Sinful Gladiator's Band,Sinful Aspirant's Band,Decanter of Anima-Charged Winds,Sinful Aspirant's Insignia of Alacrity,Mantle of Manifest Sins,Supercollider,Stormwind Tabard,,Sinful Gladiator's Guard,326.2
4275,Selfless Collector's GreatHelm,Trailspinner Pendant,Shadowghast Pauldrons,Selfless Collector's Chestplate,Scarred Bloodbound Girdle,Gormshell Greaves,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Guilewind Stone Talons,Fleshfused Circle,Ritual Commander's Ring,Blood-Spattered Scale,Splintered Heart of Al'ar,Selfless Collector's Greatcloak,Axe of the Deadgrove,,,Acidslough Bulwark,633.8
4276,Plague Handler's Greathelm,Trailspinner Pendant,Shieldguard's Shoulderplates,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Gormshell Greaves,Muckwallow Stompers,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Death God's Signet,Ring of Perpetual Conflict,Boon of the Archon,Inscrutable Quantum Device,Cloak of Enveloping Manifestations,Gorestained Cleaver,,,Acidslough Bulwark,136.9
4277,Darkfrost Helmet,Trailspinner Pendant,Vile Butcher's Pauldrons,Breastplate of Brutal Dissonance,Binding of Warped Desires,Gormshell Greaves,Shadowghast Sabatons,Thunderous Echo Vambraces,Fogweaver Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Splintered Heart of Al'ar,Slimy Consumptive Organ,Drape of Twisted Loyalties,Sinsmasher,,,Acidslough Bulwark,412.7
4278,Shadowghast Helm,Sinful Gladiator's Amulet,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Halkias's Towering Pillars,Errant Crusader's Greaves,Thunderous Echo Vambraces,Sinful Gladiator's Plate Gauntlets,Ring of Perpetual Conflict,Fleshfused Circle,Macabre Sheet Music,Viscera of Coalesced Hatred,Cloak of Enveloping Manifestations,Gorestained Cleaver,Illustrious Guild Tabard,,Acidslough Bulwark,721.8
4279,Darkfrost Helmet,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Chestplate of the March Warden,Shadowghast Waistguard,Ceremonial Parade Legguards,Stoneguard Attendant's Boots,Hellhound Cuffs,Fallen Templar's Gauntlets,Ritualist's Treasured Ring,Stitchflesh's Misplaced Signet,Stone Legion Heraldry,Darkmoon Deck: Voracity,Cowled Batwing Cloak,Barbed-Edge of the Stone Legion,Argent Crusader's Tabard,Common White Shirt,Sinful Gladiator's Redoubt,637.6
4280,Plague Handler's Greathelm,Sinful Aspirant's Pendant,Valorous Aegis Shoulderguards,Breastplate of Brutal Dissonance,Fused Bone Greatbelt,Selfless Collector's Legguards,Warboots of Ruthless Conviction,Selfless Collector's Wristguards,Fogweaver Gauntlets,Hyperlight Band,Shadowghast Ring,Slimy Consumptive Organ,Gluttonous Spike,Winter's Frigid Embrace,Sinsmasher,,Precious' Ribbon,Kudebeh's Remarkable Targe,933.4
4281,Shadowghast Helm,Muckformed Chain Choker,Prankster's Pauldrons,Chestplate of the March Warden,Stonebark Girdle,Legplates of Unholy Frenzy,Dynamo Doomstompers,Hellhound Cuffs,Distorted Construct's Gauntlets,Twisted Witherroot Band,Death God's Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Drape of Twisted Loyalties,Engorged Worm Smasher,,Captain Sanders' Shirt,Barricade of the Endless Empire,613.8
4282,Darkfrost Helmet,Sin Stained Pendant,Epaulettes of Overwhelming Force,Shadowghast Breastplate,Waistguard of Expurged Anguish,Galvanized Oxxein Legguards,Selfless Collector's Warboots,Pit Fighter's Wristguards,Fogweaver Gauntlets,Bloodoath Signet,Ring of Perpetual Conflict,Darkmoon Deck: Indomitable,Sinful Gladiator's Emblem,Cowled Batwing Cloak,Sinful Gladiator's Hacker,Tabard of Summer Skies,Blue Workman's Shirt,Sinful Gladiator's Guard,431.6
4283,Shadowghast Helm,Sinful Aspirant's Necklace,Pauldrons of Unleashed Pride,Breastplate of Cautious Calculation,Binding of Warped Desires,Selfless Collector's Legguards,Sinful Aspirant's Plate Warboots,Vambraces of the Depraved Warden,Selfless Collector's Gauntlets,Stitchflesh's Misplaced Signet,Entwined Gorger Tendril,Slimy Consumptive Organ,Blood-Spattered Scale,Dealer Xy'exa's Cape,Sinful Aspirant's Sword,,,Sinful Gladiator's Guard,485.8
4284,Wing Commander's Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Dread Sentinel's Ebony Greatboots,Hellhound Cuffs,Dread Sentinel's Ebony Grips,Hyperlight Band,Twisted Witherroot Band,Phial of Putrefaction,Decanter of Anima-Charged Winds,Decadent Nathrian Shawl,Sophisticated Bonecracker,Nightfallen Tabard,White Tuxedo Shirt,Kudebeh's Remarkable Targe,214.5
4285,Plague Handler's Greathelm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Brutal Dissonance,Waistguard of Expurged Anguish,Legplates of Unholy Frenzy,Selfless Collector's Warboots,Reality-Shatter Vambraces,Fleshfused Crushers,Fleshfused Circle,Signet of the False Accuser,Darkmoon Deck: Indomitable,Blood-Spattered Scale,Dealer Xy'exa's Cape,Supercollider,,,Acidslough Bulwark,239.1
4286,Wing Commander's Helmet,Sinful Aspirant's Necklace,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Muckwallow Stompers,Reality-Shatter Vambraces,Distorted Construct's Gauntlets,Signet of the False Accuser,Ritual Commander's Ring,Sinful Aspirant's Badge of Ferocity,Bladedancer's Armor Kit,Dealer Xy'exa's Cape,Sinfall Guardian's Rapier,,,Acidslough Bulwark,261.1
4287,Plague Handler's Greathelm,Muckformed Chain Choker,Shadowghast Pauldrons,Abdominal Securing Chestguard,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Band of the Risen Bonelord,Ritual Commander's Ring,Bladedancer's Armor Kit,Spare Meat Hook,Drape of Twisted Loyalties,Engorged Worm Smasher,,Black Swashbuckler's Shirt,Encrusted Canopic Lid,362.2
4288,Shadowghast Helm,Noble's Birthstone Pendant,Shoulderplates of the Deconstructor,Dread Sentinel's Ebony Chestplate,Stoic Guardsman's Belt,Plated Leggings of Ruination,Sabatons of the Rushing Juggernaut,Stonewrought Armplates,Colossal Plate Gauntlets,Band of the Risen Bonelord,Signet of the False Accuser,Bargast's Leash,Bladedancer's Armor Kit,Crest of the Legionnaire General,Gorestained Cleaver,Tabard of the 7th Legion,Wound Dressing,Sinful Gladiator's Redoubt,379.0
4289,Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Pit Fighter's Wristguards,Fleshfused Crushers,Death God's Signet,Signet of the False Accuser,Pulsating Stoneheart,Anima Field Emitter,Dealer Xy'exa's Cape,Axe of the Deadgrove,,,Acidslough Bulwark,298.4
4290,Darkfrost Helmet,Valeshroud Torque,Shadowghast Pauldrons,Shieldguard's Breastplate,Stonebark Girdle,Legplates of Unholy Frenzy,Muckwallow Stompers,Stonewrought Armplates,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Ritual Bone Band,Anima Field Emitter,Pulsating Stoneheart,Blighted Margrave's Cloak,Engorged Worm Smasher,Tabard of Summer Flames,Squire's Shirt,Acidslough Bulwark,168.9
4291,Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Gormshell Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Selfless Collector's Gauntlets,Signet of the False Accuser,Ritual Bone Band,Darkmoon Deck: Indomitable,Inscrutable Quantum Device,Crest of the Legionnaire General,Supercollider,,,Acidslough Bulwark,628.0
4292,Wrathbark Greathelm,Sin Stained Pendant,Dread Sentinel's Ebony Spaulders,Abdominal Securing Chestguard,Binding of Warped Desires,Endlessly Gluttonous Greaves,Dynamo Doomstompers,Hellhound Cuffs,Dread Sentinel's Ebony Grips,Hyperlight Band,Twisted Witherroot Band,Gluttonous Spike,Darkmoon Deck: Indomitable,Cloak of Enveloping Manifestations,Barbed-Edge of the Stone Legion,,Precious' Ribbon,Builwark of the Stone Legion,237.9
4293,Selfless Collector's GreatHelm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Selfless Collector's Chestplate,Scarred Bloodbound Girdle,Legplates of Unholy Frenzy,Shieldguard's Warboots,Shoulderblade Vambraces,Selfless Collector's Gauntlets,Shadowghast Ring,Signet of the False Accuser,Bladedancer's Armor Kit,Inscrutable Quantum Device,Blighted Margrave's Cloak,Sacred Sparrer's Edge,,,Encrusted Canopic Lid,323.2
4294,Selfless Collector's GreatHelm,Trailspinner Pendant,Shadowghast Pauldrons,Tharatos' Charred Chestplate,Fused Bone Greatbelt,Selfless Collector's Legguards,Selfless Collector's Warboots,Selfless Collector's Wristguards,Selfless Collector's Gauntlets,Fleshfused Circle,Signet of the False Accuser,Inscrutable Quantum Device,Offering of Sacrifice,Cloak of Enveloping Manifestations,Supercollider,,Red Linen Shirt,Acidslough Bulwark,261.9
4295,Selfless Collector's GreatHelm,Trailspinner Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Ember-Scarred Girdle,Selfless Collector's Legguards,Selfless Collector's Warboots,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Ring of Perpetual Conflict,Bloodoath Signet,Darkmoon Deck: Indomitable,Pulsating Stoneheart,Cowled Batwing Cloak,Engorged Worm Smasher,Tabard of the Explorer,,Sylvan Whiteshield,367.5
4296,Shadowghast Helm,Azure-Venom Choker,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Fleshfused Crushers,Ritual Commander's Ring,Stitchflesh's Misplaced Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Drape of Twisted Loyalties,Gorestained Cleaver,,,Acidslough Bulwark,1304.5
4297,Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Waistguard of Expurged Anguish,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Shoulderblade Vambraces,Sinful Gladiator's Plate Handguards,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Sanguine Vintage,Decanter of Anima-Charged Winds,Crest of the Legionnaire General,Sinsmasher,Tabard of Brute Force,,Barricade of the Endless Empire,1073.5
4298,Darkfrost Helmet,Gaiazelle's Spiked Collar,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Binding of Warped Desires,Halkias's Towering Pillars,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Distorted Construct's Gauntlets,Death God's Signet,Sinful Gladiator's Ring,Decanter of Anima-Charged Winds,Overwhelming Power Crystal,Decadent Nathrian Shawl,Axe of the Deadgrove,,,Sinful Gladiator's Guard,1181.7
4299,Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Muckwallow Stompers,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Ardent Sunstar Signet,Bloodoath Signet,Gluttonous Spike,Blood-Spattered Scale,Drape of Twisted Loyalties,Engorged Worm Smasher,Guild Tabard,Precious' Ribbon,Barricade of the Endless Empire,1121.9
4300,Darkfrost Helmet,Noble's Birthstone Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Ceremonial Parade Legguards,Muckwallow Stompers,Shoulderblade Vambraces,Fleshfused Crushers,Signet of the False Accuser,Death God's Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Crest of the Legionnaire General,Sophisticated Bonecracker,,,Builwark of the Stone Legion,1053.1
4301,Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Ritual Bone Band,Signet of the False Accuser,Anima Field Emitter,Decanter of Anima-Charged Winds,Dealer Xy'exa's Cape,Axe of the Deadgrove,,,Acidslough Bulwark,971.4
4302,Shadowghast Helm,Sin Stained Pendant,Epaulettes of Overwhelming Force,Breastplate of Fatal Contrivances,Binding of Warped Desires,Halkias's Towering Pillars,Errant Crusader's Greaves,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Death God's Signet,Signet of the False Accuser,Anima Field Emitter,Blood-Spattered Scale,Sinful Gladiator's Drape,Engorged Worm Smasher,,,Chyrus's Crest of Hope,999.2
4303,Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Handguards,Hyperlight Band,Ritual Bone Band,Gluttonous Spike,Pulsating Stoneheart,Sinful Gladiator's Drape,Engorged Worm Smasher,,Red Linen Shirt,Elysian Sentinel's Aegis,956.5
4304,Oversized Centurion Helm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Stonebark Girdle,Legplates of Unholy Frenzy,Selfless Collector's Warboots,Pit Fighter's Wristguards,Fogweaver Gauntlets,Band of the Risen Bonelord,Ritual Bone Band,Pulsating Stoneheart,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Sinsmasher,Lightforged Tabard,,Acidslough Bulwark,809.5
4305,Wing Commander's Helmet,Noble's Birthstone Pendant,Pauldrons of Unleashed Pride,Tharatos' Charred Chestplate,Fused Bone Greatbelt,Shadowghast Greaves,Errant Crusader's Greaves,Pit Fighter's Wristguards,Fleshfused Crushers,Hyperlight Band,Sinful Gladiator's Signet,Anima Field Emitter,Blood-Spattered Scale,Cowled Batwing Cloak,Axe of the Deadgrove,Guild Tabard,,Stonewrought Gargoyles Barrier,897.1
4306,Sinful Aspirant's Plate Helm,Azure-Venom Choker,Sinful Gladiator's Plate Pauldrons,Shadowghast Breastplate,Girdle of the Soulflayer,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Soldier's Stoneband Wristguards,Fleshfused Crushers,Hyperlight Band,Sinful Gladiator's Signet,Sinful Gladiator's Badge of Ferocity,Blood-Spattered Scale,Sinful Gladiator's Shawl,Sinsmasher,,,Sinful Gladiator's Guard,801.5
4307,Wrathbark Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Sinful Gladiator's Plate Greatbelt,Endlessly Gluttonous Greaves,Muckwallow Stompers,Sinful Gladiator's Plate Vambraces,Hardened Castle Crushers,Death God's Signet,Sinful Gladiator's Ring,Sinful Aspirant's Badge of Ferocity,Anima Field Emitter,Drape of Twisted Loyalties,Sophisticated Bonecracker,Tabard of the Explorer,Scarlet Filigreed Shirt,Acidslough Bulwark,1015.3
4308,Plague Handler's Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Endlessly Gluttonous Greaves,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Sinful Gladiator's Plate Handguards,Most Regal Signet of Sire Denathrius,Stitchflesh's Misplaced Signet,Pulsating Stoneheart,Inscrutable Quantum Device,Cowled Batwing Cloak,Sophisticated Bonecracker,Guild Tabard,,Barricade of the Endless Empire,903.2
4309,Wing Commander's Helmet,Charm of Eternal Winter,Prankster's Pauldrons,Breastplate of Fatal Contrivances,Binding of Warped Desires,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Thunderous Echo Vambraces,Fleshfused Crushers,Ardent Sunstar Signet,Shadowghast Ring,Splintered Heart of Al'ar,Viscera of Coalesced Hatred,Dealer Xy'exa's Cape,Gorestained Cleaver,,,Acidslough Bulwark,1088.0
4310,Plague Handler's Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Girdle of the Soulflayer,Ceremonial Parade Legguards,Errant Crusader's Greaves,Shoulderblade Vambraces,Colossal Plate Gauntlets,Ritual Commander's Ring,Hyperlight Band,Sanguine Vintage,Blood-Spattered Scale,Cowled Batwing Cloak,Supercollider,,,Acidslough Bulwark,850.0
4311,Sinful Gladiator's Plate Helm,Sinful Gladiator's Pendant,Sinful Gladiator's Plate Shoulders,Sinful Gladiator's Plate Chestplate,Sinful Gladiator's Plate Girdle,Shadowghast Greaves,Dynamo Doomstompers,Sinful Gladiator's Plate Wristguards,Colossal Plate Gauntlets,Arachnid Cipher Ring,Ritual Bone Band,Blood-Spattered Scale,Sinful Gladiator's Badge of Ferocity,Blighted Margrave's Cloak,Sinful Aspirant's Mace,,,Acidslough Bulwark,595.1
4312,Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Guilewind Stone Talons,Ring of Perpetual Conflict,Ritual Commander's Ring,Pulsating Stoneheart,Spare Meat Hook,Cloak of Enveloping Manifestations,Sophisticated Bonecracker,Frostwolf Battle Tabard,,Barricade of the Endless Empire,778.9
4313,Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Scarred Bloodbound Girdle,Endlessly Gluttonous Greaves,Sinful Gladiator's Plate Warboots,Reality-Shatter Vambraces,Sinful Gladiator's Plate Handguards,Entwined Gorger Tendril,Arachnid Cipher Ring,Blood-Spattered Scale,Overwhelming Power Crystal,"Ashjra'kamas, Shroud of Resolve",Sinsmasher,,Precious' Ribbon,Encrusted Canopic Lid,948.3
4314,Darkfrost Helmet,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Archaedas' Lost Legplates,Errant Crusader's Greaves,Shadowghast Armguards,Fleshfused Crushers,Ritual Commander's Ring,Sinful Gladiator's Signet,Sinful Aspirant's Badge of Ferocity,Blood-Spattered Scale,Cowled Batwing Cloak,Xandria's Kopis of Courage,,Red Linen Shirt,Acidslough Bulwark,757.4
4315,Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Scarred Bloodbound Girdle,Gormshell Greaves,Dynamo Doomstompers,Pit Fighter's Wristguards,Fogweaver Gauntlets,Ring of Perpetual Conflict,Signet of the False Accuser,Pulsating Stoneheart,Splintered Heart of Al'ar,Cloak of Enveloping Manifestations,Axe of the Deadgrove,,,Acidslough Bulwark,611.4
4316,Sinful Gladiator's Plate Helm,Sin Stained Pendant,Prankster's Pauldrons,Sinful Aspirant's Plate Chestplate,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Muckwallow Stompers,Thunderous Echo Vambraces,Guilewind Stone Talons,Shadowghast Ring,Death God's Signet,Decanter of Anima-Charged Winds,Sinful Gladiator's Insignia of Alacrity,Dealer Xy'exa's Cape,Engorged Worm Smasher,Nightfallen Tabard,,Acidslough Bulwark,984.3
4317,Shadowghast Helm,Azure-Venom Choker,Prankster's Pauldrons,Abdominal Securing Chestguard,Binding of Warped Desires,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Hardened Castle Crushers,Sinful Gladiator's Ring,Band of the Risen Bonelord,Blood-Spattered Scale,Inscrutable Quantum Device,Blighted Margrave's Cloak,Engorged Worm Smasher,Tabard of the Waveblade Ankoan,,Encrusted Canopic Lid,816.6
